,predicted_labels,true_labels
124557,4,30
44360,4,4
97051,20,20
73218,4,9
32355,4,4
121815,1,28
91971,4,16
53625,4,4
48234,4,4
108233,25,25
120376,4,28
27907,4,4
84759,4,13
43095,4,4
42576,4,4
116372,4,26
112266,4,25
84613,4,13
81104,1,11
37171,4,4
83631,4,12
110347,4,25
99750,1,21
26726,4,4
26025,4,4
48384,4,4
120130,4,28
4566,4,1
50366,4,4
6145,1,1
62049,4,7
107495,25,24
56000,4,5
77272,4,10
100737,20,21
70338,9,9
70585,4,9
56637,4,5
17370,4,2
80819,4,11
104767,4,23
117304,4,26
34811,4,4
106208,24,24
91387,4,16
124226,4,30
107998,4,25
91089,4,16
106525,1,24
42599,4,4
9560,1,1
59728,1,6
31773,4,4
63444,4,7
107097,4,24
93246,4,17
53936,4,4
90830,4,16
35219,4,4
74651,4,10
69117,1,9
58299,1,6
80896,4,11
5743,1,1
69284,4,9
120619,4,28
110679,4,25
27543,4,4
93988,4,18
23580,4,4
32022,4,4
18799,4,2
98908,1,20
117831,4,26
57033,4,5
3801,1,1
109745,25,25
15358,1,1
55738,4,5
95742,4,20
91095,4,16
66633,4,8
6055,1,1
57314,1,5
28701,4,4
99602,4,21
49906,4,4
109189,25,25
57773,4,6
113540,25,25
119992,4,28
66216,4,8
92581,1,17
123133,4,29
25656,4,4
106175,25,24
68289,4,8
119474,4,27
107677,24,24
59575,4,6
101742,4,22
96644,1,20
52791,4,4
20028,4,3
45156,4,4
118282,1,27
84854,4,13
93610,4,18
94088,4,18
2696,4,0
101100,4,22
9665,1,1
17375,4,2
51219,4,4
92229,1,17
26541,4,4
35921,4,4
2975,1,1
27496,4,4
101887,4,22
87187,4,14
99742,1,21
5962,4,1
104313,4,23
112218,1,25
102665,4,22
79436,4,11
14368,1,1
45243,4,4
101706,1,22
121140,4,28
118163,4,27
107619,1,24
49552,4,4
50430,4,4
57959,4,6
121031,4,28
115379,4,26
120561,4,28
31025,4,4
56334,4,5
78261,4,11
2181,4,0
45019,4,4
62402,4,7
118386,4,27
22293,4,4
69769,4,9
15895,1,1
110203,25,25
45808,4,4
54421,4,4
101872,1,22
7236,4,1
89333,4,15
53018,4,4
16797,4,1
124045,4,30
106640,4,24
83089,1,12
27156,4,4
1982,4,0
15998,1,1
85233,4,13
54715,4,5
6201,1,1
6707,1,1
82804,24,12
11735,1,1
69265,1,9
120207,4,28
99988,4,21
2103,4,0
12446,4,1
1420,4,0
98155,4,20
11256,1,1
77468,4,10
82811,4,12
107561,4,24
110887,4,25
85120,4,13
83897,4,12
53204,4,4
6378,1,1
98474,1,20
38203,4,4
105282,4,23
63331,1,7
57525,4,6
121629,4,28
80473,4,11
21519,1,3
122237,4,29
2951,1,1
96618,4,20
21279,4,3
112108,4,25
35231,4,4
71078,4,9
36298,4,4
103632,1,23
2331,0,0
25309,4,4
16861,1,1
25977,4,4
97662,4,20
76324,4,10
123356,4,29
122893,4,29
43476,4,4
87261,1,14
80087,4,11
97590,4,20
74364,1,10
52865,4,4
106837,24,24
29828,4,4
86963,1,13
392,4,0
59427,4,6
83786,1,12
110737,25,25
41996,4,4
124289,1,30
95174,4,19
60012,4,6
114832,4,26
98110,4,20
108442,4,25
40191,4,4
71999,1,9
116942,4,26
16333,1,1
26535,4,4
71899,1,9
38176,4,4
19428,4,3
84269,4,13
75245,4,10
76262,1,10
96073,4,20
72404,4,9
106726,1,24
37936,4,4
47819,4,4
87717,4,14
69074,4,9
102137,1,22
110789,25,25
89574,4,15
86821,4,13
23007,4,4
44123,4,4
108052,4,25
90744,4,15
88700,4,15
109831,25,25
25546,4,4
113893,4,25
111974,4,25
67214,1,8
71547,4,9
84969,4,13
26091,4,4
42192,4,4
106753,4,24
95285,4,19
4446,4,1
80047,4,11
73338,4,9
105671,1,24
85980,4,13
49849,4,4
25499,4,4
16033,1,1
59948,4,6
92164,25,16
49829,4,4
124153,4,30
113499,25,25
104404,4,23
97636,1,20
48186,4,4
25793,4,4
105694,4,24
39812,4,4
10793,4,1
121731,4,28
81926,4,11
99347,4,20
101972,1,22
107741,1,24
70833,4,9
113461,25,25
54109,4,4
100024,1,21
123710,4,30
118077,26,26
122596,4,29
99551,4,21
44672,4,4
24864,4,4
10765,1,1
13536,1,1
80207,4,11
105526,4,23
84612,4,13
79626,11,11
24992,4,4
9231,1,1
76966,4,10
13960,1,1
113415,4,25
117219,4,26
101700,1,22
121927,4,28
66493,4,8
32942,4,4
109815,25,25
11698,1,1
81914,4,11
61490,1,7
44587,4,4
87031,4,13
53427,4,4
79342,4,11
119628,4,28
47605,4,4
5610,1,1
15452,1,1
18429,4,2
108753,25,25
115516,4,26
77473,4,10
38064,4,4
121113,4,28
72017,4,9
33863,4,4
36201,4,4
19256,4,2
90352,4,15
14775,1,1
116368,4,26
6951,4,1
44529,4,4
108244,4,25
19451,4,3
60657,4,6
69906,4,9
102704,1,22
4544,1,1
711,4,0
31316,4,4
22536,4,4
118082,4,26
90092,4,15
2900,1,1
4027,1,1
52235,4,4
108718,4,25
48136,4,4
30062,4,4
95331,4,19
40704,4,4
1935,4,0
93386,4,18
13735,4,1
101540,1,22
109435,4,25
116350,4,26
41551,4,4
82659,4,12
73801,4,10
41533,4,4
83816,20,12
54023,4,4
79851,4,11
54121,4,4
95652,4,20
16371,1,1
93751,4,18
62657,4,7
61365,4,7
21812,4,3
88963,4,15
77356,4,10
84382,4,13
115181,4,26
121523,4,28
93415,4,18
123635,1,30
100470,4,21
15273,4,1
70269,4,9
54288,4,4
103544,4,23
40140,4,4
67964,4,8
112079,4,25
89228,4,15
111686,25,25
108293,4,25
103889,4,23
110655,4,25
28145,4,4
92926,4,17
28420,4,4
68980,4,9
23661,4,4
15467,4,1
17673,4,2
100526,1,21
85039,4,13
73713,1,10
80119,4,11
10386,1,1
96666,4,20
47984,4,4
86232,4,13
99977,4,21
29567,4,4
103494,4,23
76461,4,10
100694,4,21
15972,1,1
22157,4,4
5716,4,1
20949,4,3
100907,1,22
76665,1,10
38629,4,4
38536,4,4
12895,1,1
93959,4,18
12726,1,1
9198,1,1
89281,4,15
100503,1,21
80619,4,11
11683,1,1
13470,1,1
49947,4,4
110990,4,25
105318,4,23
40988,4,4
30030,4,4
60482,1,6
45290,4,4
81860,4,11
26152,4,4
57387,4,6
61427,1,7
39428,4,4
3894,1,1
90906,4,16
53733,4,4
100397,1,21
50460,4,4
66792,4,8
118989,4,27
94351,4,19
102066,4,22
38558,4,4
54125,4,4
106921,4,24
63348,4,7
63251,4,7
37630,4,4
89384,4,15
96606,1,20
8413,1,1
115719,4,26
12632,1,1
85873,4,13
54297,4,4
98138,4,20
85716,4,13
122751,4,29
8392,1,1
57013,4,5
37525,4,4
65008,1,8
54699,4,5
37098,4,4
60738,4,6
28168,4,4
42616,4,4
24868,4,4
124715,1,30
72630,4,9
102985,1,22
12767,1,1
82264,1,12
34941,4,4
62081,4,7
90776,1,15
117577,4,26
43904,4,4
70622,1,9
85632,4,13
58254,4,6
78278,4,11
57762,4,6
104030,4,23
25001,4,4
103795,4,23
98404,4,20
110921,4,25
17143,1,1
3600,4,1
35203,4,4
119390,4,27
102946,4,22
40504,4,4
48443,4,4
90800,4,15
27579,4,4
6762,1,1
93830,4,18
10367,1,1
104588,4,23
65438,1,8
35376,4,4
23998,4,4
32370,4,4
123173,4,29
76969,4,10
93215,4,17
40260,4,4
116541,4,26
63856,4,7
4167,1,1
12261,1,1
23953,4,4
31171,4,4
106741,4,24
12519,4,1
30646,4,4
104634,1,23
58862,4,6
72443,4,9
100287,4,21
118683,4,27
51352,4,4
13376,4,1
120668,4,28
55247,1,5
13878,1,1
51605,4,4
45960,4,4
122338,25,29
17187,4,2
89939,4,15
99838,1,21
59580,1,6
51471,4,4
70497,4,9
40540,4,4
108781,4,25
75147,4,10
49419,4,4
67278,1,8
38242,4,4
27067,4,4
106325,4,24
19724,4,3
45007,4,4
37592,4,4
45306,4,4
123943,4,30
115286,4,26
26633,4,4
48783,4,4
63603,1,7
102915,1,22
102220,1,22
36350,4,4
36088,4,4
53086,4,4
8159,1,1
70990,1,9
12374,1,1
23902,4,4
23603,4,4
63093,4,7
85199,4,13
101126,1,22
52432,4,4
115612,4,26
52455,4,4
83695,1,12
66511,1,8
77446,4,10
90316,4,15
118199,4,27
124401,4,30
106736,1,24
115435,4,26
33992,4,4
9135,1,1
98209,25,20
83143,4,12
38576,4,4
88919,15,15
107762,4,25
85856,4,13
24569,4,4
84947,4,13
42580,4,4
43939,4,4
23626,4,4
57677,1,6
81446,4,11
23449,4,4
44495,4,4
59333,1,6
90314,1,15
50948,4,4
72945,4,9
20847,4,3
87451,4,14
3126,1,1
42337,4,4
111326,25,25
115805,4,26
103046,4,23
88801,15,15
90070,4,15
11482,1,1
118823,4,27
119282,4,27
5076,1,1
103932,4,23
42543,4,4
86975,4,13
89058,4,15
12736,4,1
103325,4,23
93639,4,18
110502,25,25
4122,1,1
101738,1,22
11941,4,1
11872,1,1
84433,4,13
68855,9,9
80923,4,11
122738,4,29
7108,1,1
86386,4,13
8669,1,1
96053,1,20
4861,1,1
57803,1,6
115121,4,26
67756,1,8
29496,4,4
80599,4,11
9252,1,1
97177,20,20
89168,1,15
50646,4,4
48390,4,4
10369,1,1
50777,4,4
82290,4,12
113204,4,25
4100,4,1
66130,4,8
36094,4,4
6654,1,1
8575,1,1
25258,4,4
87801,4,14
72018,4,9
2380,4,0
87016,1,13
58769,4,6
89839,4,15
3098,1,1
124921,1,30
68857,1,9
75676,4,10
84481,4,13
51967,4,4
46434,4,4
33172,4,4
117464,4,26
102428,4,22
50448,4,4
64418,4,7
74643,1,10
58568,4,6
42728,4,4
123471,4,29
68371,1,8
26608,4,4
84563,4,13
72822,4,9
67881,4,8
18378,4,2
46495,4,4
104528,4,23
49298,4,4
36133,4,4
108213,4,25
18129,4,2
71335,4,9
71589,1,9
80755,4,11
55117,4,5
79689,4,11
8454,4,1
90633,9,15
120660,4,28
7726,4,1
121725,4,28
90966,4,16
46681,4,4
84418,4,13
114912,4,26
62800,1,7
97017,1,20
40591,4,4
43793,4,4
117803,4,26
62448,4,7
6404,1,1
79716,4,11
69401,4,9
123478,4,29
3490,1,1
121252,4,28
6407,4,1
115129,4,26
116827,4,26
73358,4,9
14910,4,1
116676,4,26
19132,4,2
103342,4,23
5587,4,1
498,4,0
38372,4,4
55576,4,5
108381,4,25
53032,4,4
28929,4,4
111934,4,25
52739,4,4
10783,1,1
95744,1,20
73683,10,10
3352,1,1
78612,4,11
114135,4,25
43434,4,4
77704,1,10
69111,4,9
62600,4,7
94733,4,19
32470,4,4
83387,1,12
17470,4,2
104987,4,23
84527,4,13
269,4,0
36234,4,4
104413,4,23
124529,1,30
56651,1,5
115324,4,26
84238,4,13
29266,4,4
73033,4,9
21521,4,3
90401,4,15
58101,4,6
53202,4,4
25064,4,4
90400,4,15
112397,4,25
57222,1,5
47203,4,4
119100,4,27
83489,1,12
2092,4,0
104788,4,23
49236,4,4
67645,1,8
106048,4,24
41231,4,4
43268,4,4
117351,4,26
8303,1,1
65674,1,8
99704,1,21
99770,4,21
2932,4,1
82774,1,12
21964,4,4
76386,4,10
42554,4,4
95944,1,20
46565,4,4
27135,4,4
50079,4,4
90853,1,16
124359,4,30
22065,4,4
123849,4,30
53619,4,4
30341,4,4
121817,25,28
97011,1,20
42644,4,4
28805,4,4
33533,4,4
121640,26,28
98586,4,20
70572,9,9
83810,4,12
13777,1,1
51783,4,4
68173,1,8
65689,4,8
91974,4,16
3976,1,1
85449,4,13
117646,4,26
27877,4,4
13727,1,1
77620,4,10
11069,1,1
14492,1,1
55409,4,5
99015,4,20
113501,4,25
101794,1,22
31218,4,4
86600,4,13
111376,4,25
43595,4,4
66864,4,8
3999,1,1
36761,4,4
74218,4,10
101928,4,22
23738,4,4
28207,4,4
102467,1,22
123693,4,30
35618,4,4
66779,1,8
22350,4,4
106224,1,24
13818,4,1
122343,4,29
58958,4,6
52869,4,4
60313,4,6
16334,1,1
42946,4,4
16670,4,1
70592,1,9
97822,4,20
113263,25,25
65992,4,8
63848,4,7
36176,4,4
92076,25,16
78607,4,11
82518,4,12
115484,4,26
106996,25,24
85232,4,13
80946,4,11
104971,4,23
108334,25,25
108926,4,25
3647,4,1
59796,1,6
113804,4,25
36297,4,4
121623,4,28
5112,4,1
122796,4,29
116537,1,26
118914,4,27
97382,1,20
52208,4,4
77528,4,10
46054,4,4
77114,4,10
43274,4,4
50283,4,4
108099,25,25
94420,4,19
19491,4,3
87393,4,14
119005,4,27
93749,4,18
106199,1,24
40434,4,4
90343,4,15
87454,4,14
113290,4,25
124451,1,30
59334,4,6
114621,4,26
82966,4,12
117247,4,26
8028,1,1
31445,4,4
107348,24,24
7395,4,1
55561,4,5
21105,1,3
8155,1,1
106948,4,24
44700,4,4
19176,4,2
5517,1,1
93174,4,17
33718,4,4
23489,4,4
113134,4,25
115088,4,26
24500,4,4
114275,4,25
93660,4,18
31816,4,4
51956,4,4
119318,4,27
699,4,0
1716,4,0
38081,4,4
14541,4,1
108035,4,25
40555,4,4
79012,4,11
70605,4,9
97154,4,20
107349,4,24
114759,4,26
45045,4,4
22416,4,4
118567,4,27
75724,4,10
116309,4,26
90164,4,15
110931,4,25
16142,1,1
4778,1,1
75962,4,10
84400,4,13
69591,4,9
62670,4,7
21860,4,3
93775,4,18
96679,4,20
111056,4,25
16468,1,1
42360,1,4
44863,4,4
102242,1,22
77623,4,10
90832,4,16
31515,4,4
100145,1,21
2989,1,1
43271,4,4
3738,1,1
15681,4,1
45426,4,4
35928,4,4
40862,4,4
70521,4,9
26944,4,4
10575,1,1
30491,4,4
75455,10,10
104515,4,23
88252,4,14
47197,4,4
43483,4,4
24143,4,4
20079,4,3
90866,1,16
89204,1,15
101473,1,22
37180,4,4
44288,4,4
61816,4,7
104311,4,23
103754,4,23
20280,4,3
124403,4,30
8710,1,1
59535,1,6
37229,4,4
45965,4,4
32457,4,4
82214,4,12
57313,1,5
77372,10,10
55658,4,5
107666,4,24
46858,4,4
84451,4,13
2761,4,0
47545,4,4
13383,1,1
26701,4,4
25177,4,4
33252,4,4
34395,4,4
64590,4,7
52250,4,4
114623,4,26
17718,4,2
98860,4,20
8099,4,1
115155,4,26
58695,4,6
26385,4,4
72587,4,9
18936,4,2
219,4,0
33108,4,4
95350,4,19
96119,1,20
1987,4,0
58912,4,6
37653,4,4
69278,4,9
12850,4,1
12581,1,1
59516,1,6
20260,4,3
102391,1,22
117032,4,26
59213,4,6
25254,4,4
100237,4,21
17849,4,2
69245,4,9
124970,4,30
105449,1,23
24635,4,4
108437,1,25
109727,4,25
81603,11,11
15780,1,1
32110,4,4
17413,4,2
124781,4,30
3464,1,1
20195,4,3
118877,1,27
25029,4,4
90293,4,15
124935,4,30
117936,4,26
48910,4,4
15172,1,1
76045,1,10
124032,1,30
60716,4,6
84668,4,13
108265,25,25
94126,4,18
55813,1,5
22452,4,4
48438,4,4
116191,4,26
51217,4,4
8167,1,1
117623,4,26
88187,4,14
76347,4,10
20223,4,3
75607,4,10
109966,4,25
18680,4,2
32808,4,4
108223,4,25
58145,4,6
17064,1,1
17721,4,2
115508,4,26
97009,4,20
101812,1,22
34598,4,4
63585,4,7
37906,4,4
114644,4,26
42497,4,4
96987,4,20
82341,4,12
56831,4,5
46409,4,4
837,4,0
17066,1,1
20192,4,3
37162,4,4
47695,4,4
5963,1,1
83606,4,12
79803,1,11
7264,1,1
1419,4,0
95508,4,20
35333,4,4
7807,1,1
1730,4,0
75852,4,10
92469,4,17
93659,4,18
91179,4,16
3918,4,1
94495,4,19
77381,4,10
13531,1,1
48321,4,4
110961,4,25
14902,1,1
15048,1,1
117194,4,26
32901,4,4
106193,4,24
21537,1,3
55467,4,5
62036,4,7
67469,4,8
68661,4,9
89632,15,15
8605,1,1
117814,4,26
165,4,0
4340,1,1
102375,1,22
28578,4,4
49039,4,4
104398,4,23
99413,4,20
31801,4,4
10323,1,1
63679,4,7
73976,4,10
42962,4,4
48255,4,4
56541,4,5
73062,4,9
43942,4,4
65708,1,8
49802,4,4
103226,4,23
122381,4,29
8064,1,1
53110,4,4
76067,1,10
41165,4,4
29037,4,4
85500,4,13
64219,4,7
59322,4,6
10321,1,1
29522,4,4
106128,4,24
104185,4,23
7201,1,1
81202,4,11
55200,4,5
32687,4,4
31509,4,4
118903,4,27
51607,4,4
81844,4,11
61839,1,7
17285,4,2
1470,4,0
43835,4,4
43769,4,4
22236,4,4
56203,4,5
7861,1,1
123313,4,29
114704,4,26
122724,4,29
80978,4,11
6553,1,1
110001,4,25
42480,4,4
113816,4,25
22759,4,4
53757,4,4
77949,4,11
90490,4,15
104539,4,23
15483,1,1
84853,4,13
32987,4,4
28882,4,4
22224,4,4
93383,4,18
52158,4,4
24563,1,4
74912,4,10
344,4,0
15007,1,1
24612,4,4
44903,4,4
39478,4,4
46105,4,4
16139,1,1
47168,4,4
77026,4,10
65220,4,8
31583,4,4
85367,4,13
36638,4,4
102733,4,22
75661,4,10
21021,4,3
122619,4,29
6647,1,1
17295,4,2
95564,4,20
55263,4,5
68268,4,8
87888,4,14
58581,1,6
5580,4,1
36737,4,4
69976,1,9
50086,4,4
55977,4,5
17125,1,1
93646,4,18
10512,1,1
19779,4,3
111664,4,25
26467,4,4
47962,4,4
6687,4,1
92859,4,17
89143,4,15
71235,4,9
99123,25,20
63285,4,7
99422,4,20
5873,4,1
48766,4,4
108674,4,25
87322,4,14
117081,4,26
124236,1,30
78200,4,11
108226,4,25
52967,4,4
75889,4,10
104015,4,23
12319,1,1
51151,4,4
57166,1,5
7354,1,1
105496,1,23
87484,4,14
78484,4,11
98609,20,20
11201,1,1
41645,4,4
103623,1,23
2612,4,0
102005,22,22
105692,4,24
5878,1,1
110015,25,25
119440,4,27
42259,4,4
110614,4,25
64923,4,8
44397,4,4
5668,1,1
80747,4,11
52852,4,4
83483,4,12
76008,1,10
27582,4,4
15198,1,1
42522,4,4
43024,4,4
58116,4,6
2544,4,0
103577,4,23
45285,4,4
56176,4,5
92238,1,17
117339,4,26
68201,4,8
42061,4,4
104954,4,23
70690,4,9
77409,4,10
39566,4,4
16035,1,1
60367,4,6
114485,4,26
13218,1,1
28163,4,4
89191,4,15
16361,1,1
61638,4,7
101277,1,22
26018,4,4
35689,4,4
53153,4,4
31259,4,4
118014,26,26
71570,4,9
88030,4,14
71313,9,9
92472,1,17
27940,4,4
107161,25,24
116402,4,26
96529,1,20
32812,4,4
41329,4,4
51626,4,4
67392,4,8
27177,4,4
72477,4,9
24375,4,4
117887,4,26
41497,4,4
25024,4,4
